brand,customer_threads,reply_rate,first_reply_dm_redirect,first_reply_steps,first_reply_link,first_reply_question,first_reply_apology_only,substantive_first_reply,distinct_reply_ratio,median_reply_chars,median_brand_turns,median_reply_lag_min,english_share,unknown_lang_share,mentions_other_customer,first_day,last_day
AmazonHelp,81272,1.0,0.007370312038586475,0.04429569839551137,0.4583497391475539,0.27200019686977067,0.03528890638842406,0.5026454375430652,0.8626095088099223,126.0,1.0,11.133333333333333,0.72,0.11,0.6707353085933655,2011-10-13,2017-12-03
AppleSupport,80170,1.0,0.5215666708244979,0.18839965074217288,0.1458775102906324,0.1367219658226269,3.742048147686167e-05,0.33427716103280525,0.737769739303979,130.0,1.0,93.2,0.9275,0.025,0.4555694149931396,2013-05-04,2017-12-03
Uber_Support,41740,1.0,0.3037613799712506,0.016099664590321035,0.5895543842836608,0.011811212266411117,0.018016291327264015,0.6056540488739819,0.31238620028749403,103.0,1.0,8.166666666666666,0.9825,0.015,0.591782462865357,2014-05-27,2017-12-03
SpotifyCares,28172,1.0,0.3707227033934403,0.04980122107056652,0.24904160159023145,0.18514837427232714,0.011003833593639075,0.298842822660798,0.7260755359931848,134.0,1.0,65.08333333333333,0.92,0.0425,0.5372710492687776,2014-05-15,2017-12-03
AmericanAir,25881,1.0,0.181561763455817,0.030060662261890962,0.06274873459294462,0.1828368301070283,0.14392797805339824,0.09280939685483558,0.9735327073915228,108.0,1.0,12.25,0.9825,0.01,0.11622425717707971,2011-06-16,2017-12-03
Delta,25876,1.0,0.19218580924408718,0.01286906786211161,0.04865512443963518,0.16895965373318905,0.15867985778327406,0.06152419230174679,0.9225537177307157,107.0,1.0,11.633333333333333,0.975,0.0225,0.11775390323079302,2012-11-27,2017-12-03
comcastcares,23757,1.0,0.829355558361746,0.005177421391589847,0.02146735698951888,0.06625415666961317,0.01889969272214505,0.02664477838110873,0.686702866523551,132.0,1.0,46.11666666666667,0.9675,0.0275,0.516058424885297,2014-09-08,2017-12-03
TMobileHelp,22484,1.0,0.8668386408112435,0.004091798612346558,0.05430528375733855,0.02237146415228607,0.000889521437466643,0.058397082369685105,0.9653531400106743,126.0,1.0,3.033333333333333,0.9575,0.0375,0.7322095712506671,2012-08-19,2017-12-03
SouthwestAir,21406,1.0,0.1763991404279174,0.02802952443240213,0.1039895356442119,0.15285433990469963,0.1301504251144539,0.13201906007661404,0.972998224796786,119.0,1.0,7.616666666666666,0.975,0.015,0.10511071662150799,2014-12-19,2017-12-03
Ask_Spectrum,18282,1.0,0.5788753965649273,0.01613609014331036,0.2415490646537578,0.09178426867957554,0.027513401159610547,0.25768515479706816,0.47779236407395254,148.0,1.0,34.516666666666666,0.96,0.03,0.4404332129963899,2010-09-07,2017-12-03
Tesco,16514,1.0,0.29453796778490976,0.026099067457914498,0.035848371079084417,0.2671672520285818,0.18124015986435751,0.06194743853699891,0.9922490008477656,139.0,2.0,101.09166666666667,0.9725,0.0125,0.07993217875741795,2014-09-07,2017-12-03
British_Airways,16273,1.0,0.16014256744300376,0.03232348061205678,0.05536778713205924,0.2210409881398636,0.18417009770785964,0.08769126774411602,0.997480489153813,129.0,1.0,183.9,0.9875,0.01,0.11780249493025256,2012-04-27,2017-12-03
UPSHelp,15186,1.0,0.7225075727643883,0.010075069142631371,0.17009087317265903,0.028776504675358885,0.03081785855393125,0.1801659423152904,0.7230343737653101,140.0,1.0,14.483333333333333,0.95,0.03,0.6147767680758593,2012-12-14,2017-12-03
hulu_support,14773,1.0,0.0036553171326067827,0.24402626413050835,0.3840113720977459,0.12197928653624857,0.09361673322954038,0.6280376362282543,0.9916063088066066,133.0,1.0,797.2333333333333,0.98,0.015,0.5202057808163542,2014-09-15,2017-12-03
VirginTrains,14430,1.0,0.028413028413028413,0.036243936243936244,0.08717948717948718,0.2954954954954955,0.093000693000693,0.12342342342342341,0.9096327096327096,77.0,1.0,3.566666666666667,0.9875,0.0125,0.09521829521829522,2012-03-12,2017-12-03
